"","time","value"
"619",2013-03-04 14:26:00,1513.25
"620",2013-03-04 14:27:00,1513
"621",2013-03-04 14:29:54,1513.25
"622",2013-03-04 14:35:00,1513.5
"623",2013-03-04 14:39:53,1512.75
"624",2013-03-04 14:45:00,1513.5
"625",2013-03-04 14:46:00,1514.5
"626",2013-03-04 14:49:54,1515.25
"627",2013-03-04 14:56:00,1515.5
"628",2013-03-04 14:57:00,1515.5
"629",2013-03-04 14:59:54,1514.75
"630",2013-03-04 15:08:00,1515
"631",2013-03-04 15:08:00,1515.25
"632",2013-03-04 15:09:55,1515.25
"633",2013-03-04 15:18:00,1514
"634",2013-03-04 15:19:55,1513.5
"635",2013-03-04 15:29:00,1513.25
"636",2013-03-04 15:29:55,1512.75
"637",2013-03-04 15:30:00,1513
"638",2013-03-04 15:39:00,1513.5
"639",2013-03-04 15:39:55,1513.5
"640",2013-03-04 15:40:00,1515
"641",2013-03-04 15:49:55,1515.75
"642",2013-03-04 15:50:00,1515.75
"643",2013-03-04 15:51:00,1516.25
"644",2013-03-04 15:59:55,1515.5
"645",2013-03-04 16:00:00,1515
"646",2013-03-04 16:09:55,1514.5
"647",2013-03-04 16:10:00,1514.25
"648",2013-03-04 16:11:00,1514.5
"649",2013-03-04 16:19:56,1516.5
"650",2013-03-04 16:20:00,1516.75
"651",2013-03-04 16:21:00,1516
"652",2013-03-04 16:29:55,1516.5
"653",2013-03-04 16:30:00,1516.75
"654",2013-03-04 16:31:00,1517.25
"655",2013-03-04 16:39:56,1516.5
"656",2013-03-04 16:40:00,1516.5
"657",2013-03-04 16:41:00,1515.75
"658",2013-03-04 16:49:55,1516.25
"659",2013-03-04 16:50:00,1516.25
"660",2013-03-04 16:50:00,1516.5
"661",2013-03-04 16:59:55,1516.5
"662",2013-03-04 17:00:00,1517
"663",2013-03-04 17:09:56,1515
"664",2013-03-04 17:10:00,1515.25
"665",2013-03-04 17:11:00,1514.75
"666",2013-03-04 17:19:55,1514
"667",2013-03-04 17:20:00,1513.75
"668",2013-03-04 17:29:55,1512.5
"669",2013-03-04 17:30:00,1512
"670",2013-03-04 17:31:00,1511.25
"671",2013-03-04 17:39:56,1512
"672",2013-03-04 17:40:00,1512
"673",2013-03-04 17:41:00,1512.25
"674",2013-03-04 17:49:56,1512.75
"675",2013-03-04 17:50:00,1513
"676",2013-03-04 17:51:00,1512.75
"677",2013-03-04 17:59:54,1513.75
"678",2013-03-04 18:00:00,1513.75
